S,"select RC.DIFF_BOO, RC.REF_1_RECORD, RC.REF_1_AMT, RC.REF_1_VALIDITY, RC.REF_2_RECORD, RC.REF_2_AMT, RC.REF_2_VALIDITY, RC.REF_1_L_REF_2_RECORD, RC.REF_1_L_REF_2_AMT, RC.REF_1_L_REF_2_VALIDITY, RC.REF_1_M_REF_2_RECORD, RC.REF_1_M_REF_2_AMT, RC.REF_1_M_REF_2_VALIDITY, BR.BATCH_STATE, BR.PROCESS_STATUS from PMDB..PM_PREPAID_BATCH_RECONCILE RC inner join PMDB..PM_PREPAID_LOAD_BATCH BR on (RC.BATCH_ID = BR.BATCH_ID) inner join PMDB..PM_RECONCILE_MAPPING M on (RC.RECONCILE_ID = M.RECONCILE_ID and M.RECONCILE_CODE = '007') where BR.ORDER_ID = @order_id",
F,DIFF_BOO,N
F,REF_1_RECORD,2
F,REF_1_AMT,1876.00
F,REF_1_VALIDITY,0
F,REF_2_RECORD,2
F,REF_2_AMT,1876.00
F,REF_2_VALIDITY,0
F,REF_1_L_REF_2_RECORD,0
F,REF_1_L_REF_2_AMT,0.00
F,REF_1_L_REF_2_VALIDITY,0
F,REF_1_M_REF_2_RECORD,0
F,REF_1_M_REF_2_AMT,0.00
F,REF_1_M_REF_2_VALIDITY,0
F,BATCH_STATE,R
F,PROCESS_STATUS,SC
