S,"select CN.COMPANY_ID, CN.CN_NO, PMDB..PM_F_FORMAT_DATE(CN.CN_DATE, 'YYYY-MM-DD') as CN_DATE, CN.MODE, CN.CN_LOCATION_CODE, CT.CATEGORY_ABBR, CN.CN_STATUS, CN.RECEIPT_SENDING, CN.CN_TYPE, CN.USER_ID, CN.ACC_REASON_ID, (CN.REFUND_TOTAL_AMT - B.EXCESS_BAL) as CN_TOTAL_EXCESS_DIFF, CN.BANK_CODE, convert(varchar(2), BOP.BOP_CODE) as BOP_CODE  from PMDB..PM_BATCH_CONVERT_POST_PRE B inner join PMDB..PM_PREPAID_LOAD_BATCH LD on (B.BATCH_ID = LD.BATCH_ID) inner join PMDB..PM_CREDIT_NOTE CN on (B.CN_ID = CN.CN_ID and B.CN_DATE = CN.CN_DATE) inner join PMDB..PM_PAYMENT_CATEGORY CT on (CN.CATEGORY_CODE = CT.CATEGORY_CODE) inner join PMDB..PM_BUSINESS_OF_PAYMENT BOP on (CN.BOP_ID = BOP.BOP_ID) where LD.ORDER_ID = @order_id",
F,COMPANY_ID,*
F,CN_NO,*
F,CN_DATE,*
F,MODE,BA
F,CN_LOCATION_CODE,1020
F,CATEGORY_ABBR,PP
F,CN_STATUS,N
F,RECEIPT_SENDING,NO
F,CN_TYPE,NP
F,USER_ID,CLMD
F,ACC_REASON_ID,*
F,CN_TOTAL_EXCESS_DIFF,0.00
F,BANK_CODE,999
F,BOP_CODE,I
